p_id,download_state,name,category,subcategory,url,direct_link,brand,votes,rating,tech-spec,specification,description,related,classification
0600-20-026,1,H20-G Compact Compression Driver Horn ,Electronics,Audio,https://www.bimobject.com/en/biamp/product/h20_commercial-loudspeakers-projectors-horn,https://www.biamp.com/products/product-families/commercial-loudspeakers/projectors-horns#h20,Biamp,(0 reviewes),No Rating,Unique ref.h20_commercial-loudspeakers-projectors-horn Product family Commercial Loudspeakers Product group Commercial Loudspeakers Projectors Horns Type Object (single object)Date of publishing2023-0,Unique ref. h20_commercial-loudspeakers-projectors-horn Product family Commercial Loudspeakers Product group Commercial Loudspeakers Projectors Horns Type Object (single object) Date of publishing 202,None,Designed in United States Manufactured in United States,B IMobject Category Electronics - Audio IF C classification Object ET IM Code EC000682 ET IM Name Loudspeaker set UN SP SC name Audio and visual presentation and composing equipment UN SP SC code4511 
0600-81-027,1,Desono™ DP6 Two-Way 6.5-Inch High Output Pendant M,Electronics,Audio,https://www.bimobject.com/en/biamp/product/dp6_desono-pendant,https://www.biamp.com/products/product-families/desono/pendant-loudspeakers#dp6,Biamp,(0 reviewes),No Rating,Unique ref.dp6_desono-pendant Product family Desono Product group Desono Pendant Type Object (single object)Date of publishing2023-05-23 Edition number1,Unique ref. dp6_desono-pendant Product family Desono Product group Desono Pendant Type Object (single object) Date of publishing 2023-05-23 Edition number 1 Product url Installation instructions Produ,"The DP6 is a high performance 6.5-inch pendant loudspeaker designed for open architecture spaces or any location where a stylish pendant form factor is desired. Featuring high power handling, high sen",Designed in United States Manufactured in United States,B IMobject Category Electronics - Audio IF C classification Object ET IM Code EC000682 ET IM Name Loudspeaker set UN SP SC name Audio and visual presentation and composing equipment UN SP SC code4511 
0600-59-028,1,Acheron 80/100 Screen Channel Loudspeaker System ,Electronics,Audio,https://www.bimobject.com/en/meyersound/product/meyersound-acheron80-100,https://meyersound.com/product/acheron/,Meyer Sound,(0 reviewes),No Rating,Unique ref.meyersound-acheron80-100 Product family Loudspeakers Product group Cine-Studio Type Object (single object)Date of publishing2019-04-25 Edition number1,Unique ref. meyersound-acheron80-100 Product family Loudspeakers Product group Cine-Studio Type Object (single object) Date of publishing 2019-04-25 Edition number 1 Product url Installation instructi,None,Material main Birch Material secondary Plywood Designed in United States Manufactured in United States,B IMobject Category Electronics - Audio Uniclass 2015 Code Pr_70_75_36_50 Uniclass 2015 Description Loudspeakers CS I Master Format 2014 Code27 24 23 CS I Master Format 2014 Title Audio-Video Devices 
0600-36-029,1,IV6-118S Single 18-Inch Subwoofer ,Electronics,Audio,https://www.bimobject.com/en/biamp/product/iv6-118s_community-line-array,https://www.biamp.com/products/product-families/community/line-array#iv6-118s,Biamp,(0 reviewes),No Rating,Unique ref.iv6-118s_community-line-array Product family Community Product group Community Line Array Type Object (single object)Date of publishing2023-04-28 Edition number1,Unique ref. iv6-118s_community-line-array Product family Community Product group Community Line Array Type Object (single object) Date of publishing 2023-04-28 Edition number 1 Product url Installatio,None,Designed in United States Manufactured in United States,B IMobject Category Electronics - Audio IF C classification Object ET IM Code EC000682 ET IM Name Loudspeaker set UN SP SC name Audio and visual presentation and composing equipment UN SP SC code4511 
0600-34-030,1,"STX812M - 12 Two-Way, Bass-Reflex, Stage Monitor/U",Electronics,Audio,https://www.bimobject.com/en/jbl-professional/product/stx812m-12-two-way-bass-reflex-stage-monitor-utility,http://www.jblpro.com/www/products/vintage/vintage-portable/stx800-series/stx812m,JBL Professional,(0 reviewes),No Rating,Product urlhttp://www.jblpro.com/www/products/vintage/vintage-portable/stx800-series/stx812m,Unique ref. STX812M-12-Two-Way-Bass-Reflex-Stage-Monitor-Utility Product family Vintage Product group Portable Sound Type Object (single object) Date of publishing 2020-01-06 Edition number 1 Product ,None,B IMobject Category Electronics - Audio IF C classification Object ET IM Code EC000682 ET IM Name Loudspeaker set UN SP SC name Audio and visual presentation and composing equipment UN SP SC code4511 ,None
0600-33-031,1,IS6-115WR Medium Power Single 15-Inch Weather-Resi,Electronics,Audio,https://www.bimobject.com/en/biamp/product/is6-115wr_community-subwoofer,https://www.biamp.com/products/product-families/community/community-subwoofers#is6-115wr,Biamp,(0 reviewes),No Rating,Unique ref.is6-115wr_community-subwoofer Product family Community Product group Community Subwoofers Type Object (single object)Date of publishing2023-05-01 Edition number1,Unique ref. is6-115wr_community-subwoofer Product family Community Product group Community Subwoofers Type Object (single object) Date of publishing 2023-05-01 Edition number 1 Product url Installatio,None,Designed in United States Manufactured in United States,B IMobject Category Electronics - Audio IF C classification Object ET IM Code EC000682 ET IM Name Loudspeaker set UN SP SC name Audio and visual presentation and composing equipment UN SP SC code4511 
0600-57-032,1,AC18/26 /95 - Compact 2-way Loudspeaker with 1 x 8,Electronics,Audio,https://www.bimobject.com/en/jbl-professional/product/ac18-26-95-compact-2-way-loudspeaker-with-1-x-8-lf,http://www.jblpro.com/www/products/installed-sound/ae-compact-series/ac18,JBL Professional,(0 reviewes),No Rating,Product urlhttp://www.jblpro.com/www/products/installed-sound/ae-compact-series/ac18,Unique ref. AC18-26-95-Compact-2-way-Loudspeaker-with-1-x-8-LF Product family Installed Sound Product group Point Source Speakers Type Object (single object) Date of publishing 2020-01-06 Edition numb,None,B IMobject Category Electronics - Audio IF C classification Object ET IM Code EC000682 ET IM Name Loudspeaker set UN SP SC name Audio and visual presentation and composing equipment UN SP SC code4511 ,None
0600-37-033,1,SCS 12 - Spatially Cued Surround Loudspeaker2-Way ,Electronics,Audio,https://www.bimobject.com/en/jbl-professional/product/scs-12-spatially-cued-surround-loudspeaker2-way-coaxial,https://jblpro.com/products/scs-12,JBL Professional,(0 reviewes),No Rating,Unique ref.S CS-12-Spatially-Cued-Surround-Loudspeaker2-Way-Coaxial Product family Cinema Sound Product group Large Format Type Object (single object)Date of publishing2020-09-26 Edition number1,Unique ref. SCS-12-Spatially-Cued-Surround-Loudspeaker2-Way-Coaxial Product family Cinema Sound Product group Large Format Type Object (single object) Date of publishing 2020-09-26 Edition number 1 Pr,None,Designed in United States Manufactured in United States,B IMobject Category Electronics - Audio IF C classification Object ET IM Code EC000682 ET IM Name Loudspeaker set UN SP SC name Audio and visual presentation and composing equipment UN SP SC code4511 
0600-59-034,1,Acheron Studio Loudspeaker ,Electronics,Audio,https://www.bimobject.com/en/meyersound/product/meyersound-acheron-studio,https://meyersound.com/product/acheron/,Meyer Sound,(0 reviewes),No Rating,Unique ref.meyersound-acheron-studio Product family Loudspeakers Product group Cine-Studio Type Object (single object)Date of publishing2019-04-25 Edition number1,Unique ref. meyersound-acheron-studio Product family Loudspeakers Product group Cine-Studio Type Object (single object) Date of publishing 2019-04-25 Edition number 1 Product url Installation instruct,None,Material main Birch Material secondary Plywood Designed in United States Manufactured in United States,B IMobject Category Electronics - Audio Uniclass 2015 Code Pr_70_75_36_50 Uniclass 2015 Description Loudspeakers CS I Master Format 2014 Code27 24 23 CS I Master Format 2014 Title Audio-Video Devices 
0600-29-035,1,H10-G Very Compact Compression Driver Horn ,Electronics,Audio,https://www.bimobject.com/en/biamp/product/h10_commercial-loudspeakers-projectors-horn,https://www.biamp.com/products/product-families/commercial-loudspeakers/projectors-horns#h10,Biamp,(0 reviewes),No Rating,Unique ref.h10_commercial-loudspeakers-projectors-horn Product family Commercial Loudspeakers Product group Commercial Loudspeakers Projectors Horns Type Object (single object)Date of publishing2023-0,Unique ref. h10_commercial-loudspeakers-projectors-horn Product family Commercial Loudspeakers Product group Commercial Loudspeakers Projectors Horns Type Object (single object) Date of publishing 202,None,Designed in United States Manufactured in United States,B IMobject Category Electronics - Audio IF C classification Object ET IM Code EC000682 ET IM Name Loudspeaker set UN SP SC name Audio and visual presentation and composing equipment UN SP SC code4511 
